repo	cmd	status	exit_code	sqlite_size	note
css-visual-diff	./cmd/build-web	export_failed	0	0	  [33mA new release of dagger is available: [0m[36mv0.20.6[0m → [36mv0.21.0[0m To upgrade, see https://docs.dagger.io/install [33mhttps://github.com/dagger/dagger/releases/tag/v0.21.0[0m 
css-visual-diff	./cmd/css-visual-diff	export_ok	0	167936	repo=css-visual-diff cmd_dir=./cmd/css-visual-diff branch=infra-002/glazed-lint head=feb93c4 command=GOWORK=off go run ./cmd/css-visual-diff help export --format sqlite --output-path /home/manuel/code/wesen/go-go-golems/infra-tooling/ttmp/2
discord-bot	./cmd/discord-bot	export_ok	0	118784	repo=discord-bot cmd_dir=./cmd/discord-bot branch=infra-002/glazed-lint head=8e32cb4 command=GOWORK=off go run ./cmd/discord-bot help export --format sqlite --output-path /home/manuel/code/wesen/go-go-golems/infra-tooling/ttmp/2026/05/27/IN
geppetto		no_cmd_main			no cmd/*/main.go
glazed	./cmd/build-web	export_failed	1	0	      --print-schema           Print the command's schema - <bool>       --print-yaml             Print the command's YAML - <bool>  2026/05/27 17:13:54 build-web failed: unknown flag: --format exit status 1 
glazed	./cmd/docsctl	export_failed	1	0	      --strict-log-areas     Fail when configured log areas do not match known generated logcopter areas       --with-caller          Log caller information  unknown flag: --format exit status 1 
glazed	./cmd/docs-registry	export_failed	1	0	  -v, --version                              version for docs-registry       --with-caller                          Log caller information  unknown flag: --format exit status 1 
glazed	./cmd/glaze	export_ok	0	729088	repo=glazed cmd_dir=./cmd/glaze branch=infra-002/glazed-lint head=56c3664 command=GOWORK=off go run ./cmd/glaze help export --format sqlite --output-path /home/manuel/code/wesen/go-go-golems/infra-tooling/ttmp/2026/05/27/INFRA-003--roll-out
go-go-goja	./cmd/ast-parse-editor	export_failed	1	0	branch=infra-002/glazed-lint head=0bc1ff1 command=GOWORK=off go run ./cmd/ast-parse-editor help export --format sqlite --output-path /home/manuel/code/wesen/go-go-golems/infra-tooling/ttmp/2026/05/27/INFRA-003--roll-out-docsctl-documentatio
go-go-goja	./cmd/bun-demo	export_failed	1	0	branch=infra-002/glazed-lint head=0bc1ff1 command=GOWORK=off go run ./cmd/bun-demo help export --format sqlite --output-path /home/manuel/code/wesen/go-go-golems/infra-tooling/ttmp/2026/05/27/INFRA-003--roll-out-docsctl-documentation-publis
go-go-goja	./cmd/gen-dts	export_failed	1	0	branch=infra-002/glazed-lint head=0bc1ff1 command=GOWORK=off go run ./cmd/gen-dts help export --format sqlite --output-path /home/manuel/code/wesen/go-go-golems/infra-tooling/ttmp/2026/05/27/INFRA-003--roll-out-docsctl-documentation-publish
go-go-goja	./cmd/goja-jsdoc	export_ok	0	61440	repo=go-go-goja cmd_dir=./cmd/goja-jsdoc branch=infra-002/glazed-lint head=0bc1ff1 command=GOWORK=off go run ./cmd/goja-jsdoc help export --format sqlite --output-path /home/manuel/code/wesen/go-go-golems/infra-tooling/ttmp/2026/05/27/INFRA
go-go-goja	./cmd/goja-perf	export_failed	1	0	 Flags:   -h, --help   help for help  exit status 1 
go-go-goja	./cmd/goja-repl	export_ok	0	278528	repo=go-go-goja cmd_dir=./cmd/goja-repl branch=infra-002/glazed-lint head=0bc1ff1 command=GOWORK=off go run ./cmd/goja-repl help export --format sqlite --output-path /home/manuel/code/wesen/go-go-golems/infra-tooling/ttmp/2026/05/27/INFRA-0
go-go-goja	./cmd/inspector	export_failed	1	0	branch=infra-002/glazed-lint head=0bc1ff1 command=GOWORK=off go run ./cmd/inspector help export --format sqlite --output-path /home/manuel/code/wesen/go-go-golems/infra-tooling/ttmp/2026/05/27/INFRA-003--roll-out-docsctl-documentation-publi
go-go-goja	./cmd/jsverbs-example	export_ok	0	278528	repo=go-go-goja cmd_dir=./cmd/jsverbs-example branch=infra-002/glazed-lint head=0bc1ff1 command=GOWORK=off go run ./cmd/jsverbs-example help export --format sqlite --output-path /home/manuel/code/wesen/go-go-golems/infra-tooling/ttmp/2026/0
go-go-goja	./cmd/smalltalk-inspector	export_failed	1	0	branch=infra-002/glazed-lint head=0bc1ff1 command=GOWORK=off go run ./cmd/smalltalk-inspector help export --format sqlite --output-path /home/manuel/code/wesen/go-go-golems/infra-tooling/ttmp/2026/05/27/INFRA-003--roll-out-docsctl-documenta
go-go-goja	./cmd/xgoja	export_ok	0	114688	repo=go-go-goja cmd_dir=./cmd/xgoja branch=infra-002/glazed-lint head=0bc1ff1 command=GOWORK=off go run ./cmd/xgoja help export --format sqlite --output-path /home/manuel/code/wesen/go-go-golems/infra-tooling/ttmp/2026/05/27/INFRA-003--roll
goja-git	./cmd/XXX	export_failed	0	0	repo=goja-git cmd_dir=./cmd/XXX branch=infra-002/glazed-lint head=5fd5736 command=GOWORK=off go run ./cmd/XXX help export --format sqlite --output-path /home/manuel/code/wesen/go-go-golems/infra-tooling/ttmp/2026/05/27/INFRA-003--roll-out-d
go-minitrace	./cmd/build-web	export_failed	0	0	  [33mA new release of dagger is available: [0m[36mv0.20.5[0m → [36mv0.21.0[0m To upgrade, see https://docs.dagger.io/install [33mhttps://github.com/dagger/dagger/releases/tag/v0.21.0[0m 
go-minitrace	./cmd/go-minitrace	export_ok	0	266240	repo=go-minitrace cmd_dir=./cmd/go-minitrace branch=infra-002/glazed-lint head=28dc3df command=GOWORK=off go run ./cmd/go-minitrace help export --format sqlite --output-path /home/manuel/code/wesen/go-go-golems/infra-tooling/ttmp/2026/05/27
loupedeck	./cmd/loupedeck	export_ok	0	102400	repo=loupedeck cmd_dir=./cmd/loupedeck branch=infra-002/glazed-lint head=ff4cf31 command=GOWORK=off go run ./cmd/loupedeck help export --format sqlite --output-path /home/manuel/code/wesen/go-go-golems/infra-tooling/ttmp/2026/05/27/INFRA-00
pinocchio	./cmd/pinocchio	export_ok	0	655360	repo=pinocchio cmd_dir=./cmd/pinocchio branch=infra-002/glazed-lint head=1ca48c0 command=GOWORK=off go run ./cmd/pinocchio help export --format sqlite --output-path /home/manuel/code/wesen/go-go-golems/infra-tooling/ttmp/2026/05/27/INFRA-00
pinocchio	./cmd/web-chat	export_ok	0	49152	repo=pinocchio cmd_dir=./cmd/web-chat branch=infra-002/glazed-lint head=1ca48c0 command=GOWORK=off go run ./cmd/web-chat help export --format sqlite --output-path /home/manuel/code/wesen/go-go-golems/infra-tooling/ttmp/2026/05/27/INFRA-003-
