repo,module,dependency_repo,dependency_module,required_version,indirect,replace_target,dependency_in_tracker,dependency_state,dependency_batch,dependency_tracker_tag,dependency_release_url,dependency_latest_local_tag,source,scanned_at
ai-in-action-app,github.com/go-go-golems/ai-in-action-app,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
almanach,github.com/go-go-golems/almanach,glazed,github.com/go-go-golems/glazed,v1.2.7,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
almanach,github.com/go-go-golems/almanach,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
biberon,github.com/go-go-golems/biberon,glazed,github.com/go-go-golems/glazed,v0.3.4,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
bobatea,github.com/go-go-golems/bobatea,geppetto,github.com/go-go-golems/geppetto,v0.11.7,0,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
bobatea,github.com/go-go-golems/bobatea,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
bucheron,github.com/go-go-golems/bucheron,glazed,github.com/go-go-golems/glazed,v0.3.4,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
clay,github.com/go-go-golems/clay,glazed,github.com/go-go-golems/glazed,v1.3.0,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
clay,github.com/go-go-golems/clay,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
cliopatra,github.com/go-go-golems/cliopatra,clay,github.com/go-go-golems/clay,v0.1.6,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
cliopatra,github.com/go-go-golems/cliopatra,glazed,github.com/go-go-golems/glazed,v0.5.3,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
cliopatra,github.com/go-go-golems/cliopatra,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
codex-sessions,github.com/go-go-golems/codex-session,glazed,github.com/go-go-golems/glazed,v1.0.4,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
codex-sessions,github.com/go-go-golems/codex-session,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
common-sense,github.com/go-go-golems/common-sense,glazed,github.com/go-go-golems/glazed,v0.4.12,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
cozodb-goja,github.com/go-go-golems/cozodb-goja,glazed,github.com/go-go-golems/glazed,v1.0.1,1,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
cozodb-goja,github.com/go-go-golems/cozodb-goja,go-go-goja,github.com/go-go-golems/go-go-goja,v0.4.0,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
cozodb-goja,github.com/go-go-golems/cozodb-goja,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
