repo,dependency_repo,dependency_module,current_required_version,available_tag,dependency_state,dependency_release_url,direct,priority,reason,scanned_at
go-go-agent,bobatea,github.com/go-go-golems/bobatea,v0.0.18,v0.1.5,main_actions_verified,,0,high,"bobatea has available tag v0.1.5; go-go-agent requires v0.0.18.",2026-05-29T17:32:01+00:00
oak,bobatea,github.com/go-go-golems/bobatea,v0.0.28,v0.1.5,main_actions_verified,,1,high,"bobatea has available tag v0.1.5; oak requires v0.0.28.",2026-05-29T17:32:01+00:00
go-go-agent,go-emrichen,github.com/go-go-golems/go-emrichen,v0.0.7,v0.0.10,main_actions_verified,,1,high,"go-emrichen has available tag v0.0.10; go-go-agent requires v0.0.7.",2026-05-29T17:32:01+00:00
jesus,go-go-mcp,github.com/go-go-golems/go-go-mcp,v0.0.17,v0.0.18,main_actions_verified,,1,high,"go-go-mcp has available tag v0.0.18; jesus requires v0.0.17.",2026-05-29T17:32:01+00:00
go-go-app-arc-agi,go-go-os-backend,github.com/go-go-golems/go-go-os-backend,v0.0.3,v0.0.5,main_actions_verified,,1,high,"go-go-os-backend has available tag v0.0.5; go-go-app-arc-agi requires v0.0.3.",2026-05-29T17:32:01+00:00
go-go-app-inventory,go-go-os-backend,github.com/go-go-golems/go-go-os-backend,v0.0.3,v0.0.5,main_actions_verified,,1,high,"go-go-os-backend has available tag v0.0.5; go-go-app-inventory requires v0.0.3.",2026-05-29T17:32:01+00:00
go-go-gepa,go-go-os-backend,github.com/go-go-golems/go-go-os-backend,v0.0.3,v0.0.5,main_actions_verified,,1,high,"go-go-os-backend has available tag v0.0.5; go-go-gepa requires v0.0.3.",2026-05-29T17:32:01+00:00
escuse-me,parka,github.com/go-go-golems/parka,v0.5.28,v0.6.2,main_actions_verified,,1,high,"parka has available tag v0.6.2; escuse-me requires v0.5.28.",2026-05-29T17:32:01+00:00
sqleton,parka,github.com/go-go-golems/parka,v0.6.1,v0.6.2,main_actions_verified,,1,high,"parka has available tag v0.6.2; sqleton requires v0.6.1.",2026-05-29T17:32:01+00:00
geppetto,sanitize,github.com/go-go-golems/sanitize,v0.0.1,v0.0.2,main_actions_verified,https://github.com/go-go-golems/sanitize/releases/tag/v0.0.2,1,high,"sanitize has available tag v0.0.2; geppetto requires v0.0.1.",2026-05-29T17:32:01+00:00
pinocchio,sanitize,github.com/go-go-golems/sanitize,v0.0.1,v0.0.2,main_actions_verified,https://github.com/go-go-golems/sanitize/releases/tag/v0.0.2,1,high,"sanitize has available tag v0.0.2; pinocchio requires v0.0.1.",2026-05-29T17:32:01+00:00
form-generator,sqleton,github.com/go-go-golems/sqleton,v0.3.4,v0.4.5,main_actions_verified,,0,high,"sqleton has available tag v0.4.5; form-generator requires v0.3.4.",2026-05-29T17:32:01+00:00
cliopatra,clay,github.com/go-go-golems/clay,v0.1.6,v0.4.11,,,1,normal,"clay has available tag v0.4.11; cliopatra requires v0.1.6.",2026-05-29T17:32:01+00:00
ecrivain,clay,github.com/go-go-golems/clay,v0.0.23,v0.4.11,,,1,normal,"clay has available tag v0.4.11; ecrivain requires v0.0.23.",2026-05-29T17:32:01+00:00
escuse-me,clay,github.com/go-go-golems/clay,v0.1.41,v0.4.11,,,1,normal,"clay has available tag v0.4.11; escuse-me requires v0.1.41.",2026-05-29T17:32:01+00:00
form-generator,clay,github.com/go-go-golems/clay,v0.2.0,v0.4.11,,,1,normal,"clay has available tag v0.4.11; form-generator requires v0.2.0.",2026-05-29T17:32:01+00:00
go-go-agent,clay,github.com/go-go-golems/clay,v0.1.39,v0.4.11,,,1,normal,"clay has available tag v0.4.11; go-go-agent requires v0.1.39.",2026-05-29T17:32:01+00:00
go-go-gepa,clay,github.com/go-go-golems/clay,v0.4.0,v0.4.11,,,1,normal,"clay has available tag v0.4.11; go-go-gepa requires v0.4.0.",2026-05-29T17:32:01+00:00
go-go-mcp,clay,github.com/go-go-golems/clay,v0.4.0,v0.4.11,,,1,normal,"clay has available tag v0.4.11; go-go-mcp requires v0.4.0.",2026-05-29T17:32:01+00:00
jesus,clay,github.com/go-go-golems/clay,v0.4.0,v0.4.11,,,1,normal,"clay has available tag v0.4.11; jesus requires v0.4.0.",2026-05-29T17:32:01+00:00
mastoid,clay,github.com/go-go-golems/clay,v0.1.6,v0.4.11,,,1,normal,"clay has available tag v0.4.11; mastoid requires v0.1.6.",2026-05-29T17:32:01+00:00
oak,clay,github.com/go-go-golems/clay,v0.1.47,v0.4.11,,,1,normal,"clay has available tag v0.4.11; oak requires v0.1.47.",2026-05-29T17:32:01+00:00
parka,clay,github.com/go-go-golems/clay,v0.4.0,v0.4.11,,,1,normal,"clay has available tag v0.4.11; parka requires v0.4.0.",2026-05-29T17:32:01+00:00
plunger,clay,github.com/go-go-golems/clay,v0.0.2,v0.4.11,,,1,normal,"clay has available tag v0.4.11; plunger requires v0.0.2.",2026-05-29T17:32:01+00:00
prompto,clay,github.com/go-go-golems/clay,v0.4.0,v0.4.11,,,1,normal,"clay has available tag v0.4.11; prompto requires v0.4.0.",2026-05-29T17:32:01+00:00
smailnail,clay,github.com/go-go-golems/clay,v0.4.6,v0.4.11,,,1,normal,"clay has available tag v0.4.11; smailnail requires v0.4.6.",2026-05-29T17:32:01+00:00
sqleton,clay,github.com/go-go-golems/clay,v0.4.7,v0.4.11,,,1,normal,"clay has available tag v0.4.11; sqleton requires v0.4.7.",2026-05-29T17:32:01+00:00
uhoh,clay,github.com/go-go-golems/clay,v0.1.34,v0.4.11,,,1,normal,"clay has available tag v0.4.11; uhoh requires v0.1.34.",2026-05-29T17:32:01+00:00
vault-envrc-generator,clay,github.com/go-go-golems/clay,v0.4.0,v0.4.11,,,1,normal,"clay has available tag v0.4.11; vault-envrc-generator requires v0.4.0.",2026-05-29T17:32:01+00:00
web-agent-example,clay,github.com/go-go-golems/clay,v0.4.0,v0.4.11,,,1,normal,"clay has available tag v0.4.11; web-agent-example requires v0.4.0.",2026-05-29T17:32:01+00:00
bobatea,geppetto,github.com/go-go-golems/geppetto,v0.11.7,v0.12.2,skipped,,1,normal,"geppetto has available tag v0.12.2; bobatea requires v0.11.7.",2026-05-29T17:32:01+00:00
escuse-me,geppetto,github.com/go-go-golems/geppetto,v0.4.54,v0.12.2,skipped,,1,normal,"geppetto has available tag v0.12.2; escuse-me requires v0.4.54.",2026-05-29T17:32:01+00:00
go-go-agent,geppetto,github.com/go-go-golems/geppetto,v0.4.50,v0.12.2,skipped,,1,normal,"geppetto has available tag v0.12.2; go-go-agent requires v0.4.50.",2026-05-29T17:32:01+00:00
go-go-app-inventory,geppetto,github.com/go-go-golems/geppetto,v0.11.3,v0.12.2,skipped,,1,normal,"geppetto has available tag v0.12.2; go-go-app-inventory requires v0.11.3.",2026-05-29T17:32:01+00:00
go-go-gepa,geppetto,github.com/go-go-golems/geppetto,v0.10.3,v0.12.2,skipped,,1,normal,"geppetto has available tag v0.12.2; go-go-gepa requires v0.10.3.",2026-05-29T17:32:01+00:00
go-go-goja,geppetto,github.com/go-go-golems/geppetto,v0.11.7,v0.12.2,skipped,,0,normal,"geppetto has available tag v0.12.2; go-go-goja requires v0.11.7.",2026-05-29T17:32:01+00:00
go-go-mcp,geppetto,github.com/go-go-golems/geppetto,v0.10.17,v0.12.2,skipped,,1,normal,"geppetto has available tag v0.12.2; go-go-mcp requires v0.10.17.",2026-05-29T17:32:01+00:00
jesus,geppetto,github.com/go-go-golems/geppetto,v0.10.14,v0.12.2,skipped,,1,normal,"geppetto has available tag v0.12.2; jesus requires v0.10.14.",2026-05-29T17:32:01+00:00
prescribe,geppetto,github.com/go-go-golems/geppetto,v0.5.13,v0.12.2,skipped,,1,normal,"geppetto has available tag v0.12.2; prescribe requires v0.5.13.",2026-05-29T17:32:01+00:00
remarquee,geppetto,github.com/go-go-golems/geppetto,v0.11.17,v0.12.2,skipped,,1,normal,"geppetto has available tag v0.12.2; remarquee requires v0.11.17.",2026-05-29T17:32:01+00:00
smailnail,geppetto,github.com/go-go-golems/geppetto,v0.11.0,v0.12.2,skipped,,0,normal,"geppetto has available tag v0.12.2; smailnail requires v0.11.0.",2026-05-29T17:32:01+00:00
web-agent-example,geppetto,github.com/go-go-golems/geppetto,v0.10.11,v0.12.2,skipped,,1,normal,"geppetto has available tag v0.12.2; web-agent-example requires v0.10.11.",2026-05-29T17:32:01+00:00
almanach,glazed,github.com/go-go-golems/glazed,v1.2.7,v1.3.6,,,1,normal,"glazed has available tag v1.3.6; almanach requires v1.2.7.",2026-05-29T17:32:01+00:00
biberon,glazed,github.com/go-go-golems/glazed,v0.3.4,v1.3.6,,,1,normal,"glazed has available tag v1.3.6; biberon requires v0.3.4.",2026-05-29T17:32:01+00:00
bucheron,glazed,github.com/go-go-golems/glazed,v0.3.4,v1.3.6,,,1,normal,"glazed has available tag v1.3.6; bucheron requires v0.3.4.",2026-05-29T17:32:01+00:00
clay,glazed,github.com/go-go-golems/glazed,v1.3.0,v1.3.6,,,1,normal,"glazed has available tag v1.3.6; clay requires v1.3.0.",2026-05-29T17:32:01+00:00
cliopatra,glazed,github.com/go-go-golems/glazed,v0.5.3,v1.3.6,,,1,normal,"glazed has available tag v1.3.6; cliopatra requires v0.5.3.",2026-05-29T17:32:01+00:00
codex-sessions,glazed,github.com/go-go-golems/glazed,v1.0.4,v1.3.6,,,1,normal,"glazed has available tag v1.3.6; codex-sessions requires v1.0.4.",2026-05-29T17:32:01+00:00
common-sense,glazed,github.com/go-go-golems/glazed,v0.4.12,v1.3.6,,,1,normal,"glazed has available tag v1.3.6; common-sense requires v0.4.12.",2026-05-29T17:32:01+00:00
cozodb-goja,glazed,github.com/go-go-golems/glazed,v1.0.1,v1.3.6,,,0,normal,"glazed has available tag v1.3.6; cozodb-goja requires v1.0.1.",2026-05-29T17:32:01+00:00
css-visual-diff,glazed,github.com/go-go-golems/glazed,v1.3.5,v1.3.6,,,1,normal,"glazed has available tag v1.3.6; css-visual-diff requires v1.3.5.",2026-05-29T17:32:01+00:00
devctl,glazed,github.com/go-go-golems/glazed,v1.2.5,v1.3.6,,,1,normal,"glazed has available tag v1.3.6; devctl requires v1.2.5.",2026-05-29T17:32:01+00:00
discord-bot,glazed,github.com/go-go-golems/glazed,v1.3.5,v1.3.6,,,1,normal,"glazed has available tag v1.3.6; discord-bot requires v1.3.5.",2026-05-29T17:32:01+00:00
