repo                   dependency_repo   current_required_version  available_tag  priority
---------------------  ----------------  ------------------------  -------------  --------
go-go-agent            bobatea           v0.0.18                   v0.1.5         high    
oak                    bobatea           v0.0.28                   v0.1.5         high    
go-go-agent            go-emrichen       v0.0.7                    v0.0.10        high    
jesus                  go-go-mcp         v0.0.17                   v0.0.18        high    
go-go-app-arc-agi      go-go-os-backend  v0.0.3                    v0.0.5         high    
go-go-app-inventory    go-go-os-backend  v0.0.3                    v0.0.5         high    
go-go-gepa             go-go-os-backend  v0.0.3                    v0.0.5         high    
escuse-me              parka             v0.5.28                   v0.6.2         high    
sqleton                parka             v0.6.1                    v0.6.2         high    
geppetto               sanitize          v0.0.1                    v0.0.2         high    
pinocchio              sanitize          v0.0.1                    v0.0.2         high    
form-generator         sqleton           v0.3.4                    v0.4.5         high    
cliopatra              clay              v0.1.6                    v0.4.11        normal  
ecrivain               clay              v0.0.23                   v0.4.11        normal  
escuse-me              clay              v0.1.41                   v0.4.11        normal  
form-generator         clay              v0.2.0                    v0.4.11        normal  
go-go-agent            clay              v0.1.39                   v0.4.11        normal  
go-go-gepa             clay              v0.4.0                    v0.4.11        normal  
go-go-mcp              clay              v0.4.0                    v0.4.11        normal  
jesus                  clay              v0.4.0                    v0.4.11        normal  
mastoid                clay              v0.1.6                    v0.4.11        normal  
oak                    clay              v0.1.47                   v0.4.11        normal  
parka                  clay              v0.4.0                    v0.4.11        normal  
plunger                clay              v0.0.2                    v0.4.11        normal  
prompto                clay              v0.4.0                    v0.4.11        normal  
smailnail              clay              v0.4.6                    v0.4.11        normal  
sqleton                clay              v0.4.7                    v0.4.11        normal  
uhoh                   clay              v0.1.34                   v0.4.11        normal  
vault-envrc-generator  clay              v0.4.0                    v0.4.11        normal  
web-agent-example      clay              v0.4.0                    v0.4.11        normal  
bobatea                geppetto          v0.11.7                   v0.12.2        normal  
escuse-me              geppetto          v0.4.54                   v0.12.2        normal  
go-go-agent            geppetto          v0.4.50                   v0.12.2        normal  
go-go-app-inventory    geppetto          v0.11.3                   v0.12.2        normal  
go-go-gepa             geppetto          v0.10.3                   v0.12.2        normal  
go-go-goja             geppetto          v0.11.7                   v0.12.2        normal  
go-go-mcp              geppetto          v0.10.17                  v0.12.2        normal  
jesus                  geppetto          v0.10.14                  v0.12.2        normal  
prescribe              geppetto          v0.5.13                   v0.12.2        normal  
remarquee              geppetto          v0.11.17                  v0.12.2        normal  
smailnail              geppetto          v0.11.0                   v0.12.2        normal  
web-agent-example      geppetto          v0.10.11                  v0.12.2        normal  
almanach               glazed            v1.2.7                    v1.3.6         normal  
biberon                glazed            v0.3.4                    v1.3.6         normal  
bucheron               glazed            v0.3.4                    v1.3.6         normal  
clay                   glazed            v1.3.0                    v1.3.6         normal  
cliopatra              glazed            v0.5.3                    v1.3.6         normal  
codex-sessions         glazed            v1.0.4                    v1.3.6         normal  
common-sense           glazed            v0.4.12                   v1.3.6         normal  
cozodb-goja            glazed            v1.0.1                    v1.3.6         normal  
css-visual-diff        glazed            v1.3.5                    v1.3.6         normal  
devctl                 glazed            v1.2.5                    v1.3.6         normal  
discord-bot            glazed            v1.3.5                    v1.3.6         normal  
dmeta                  glazed            v0.0.0                    v1.3.6         normal  
docmgr                 glazed            v1.0.5                    v1.3.6         normal  
ecrivain               glazed            v0.4.12                   v1.3.6         normal  
escuse-me              glazed            v0.6.9                    v1.3.6         normal  
esper                  glazed            v0.7.14                   v1.3.6         normal  
font-util              glazed            v1.2.14                   v1.3.6         normal  
form-generator         glazed            v0.7.3                    v1.3.6         normal  
geppetto               glazed            v1.3.5                    v1.3.6         normal  
gitcommit              glazed            v0.7.6                    v1.3.6         normal  
go-emrichen            glazed            v0.5.52                   v1.3.6         normal  
go-go-agent            glazed            v0.5.48                   v1.3.6         normal  
go-go-app-inventory    glazed            v1.0.5                    v1.3.6         normal  
go-go-gepa             glazed            v1.0.4                    v1.3.6         normal  
go-go-goja             glazed            v1.3.5                    v1.3.6         normal  
go-go-host             glazed            v1.2.7                    v1.3.6         normal  
go-go-mcp              glazed            v1.0.5                    v1.3.6         normal  
go-minitrace           glazed            v1.3.5                    v1.3.6         normal  
goja-git               glazed            v1.3.5                    v1.3.6         normal  
goja-github-actions    glazed            v1.0.5                    v1.3.6         normal  
harkonnen              glazed            v0.5.15                   v1.3.6         normal  
infra-tooling          glazed            v1.3.4                    v1.3.6         normal  
jesus                  glazed            v1.0.5                    v1.3.6         normal  
js-analyzer            glazed            v1.0.5                    v1.3.6         normal  
loupedeck              glazed            v1.3.5                    v1.3.6         normal  
markdown-quizz         glazed            v0.7.8                    v1.3.6         normal  
mastoid                glazed            v0.5.3                    v1.3.6         normal  
oak                    glazed            v0.6.12                   v1.3.6         normal  
