category                      status    c 
----------------------------  --------  --
codex_feedback                fixed     25
codex_feedback                observed  6 
dependency_review             fixed     1 
dependency_review             observed  1 
general_rollout               fixed     42
glazed_lint                   fixed     27
glazed_lint                   observed  14
golangci_lint                 fixed     2 
golangci_lint                 observed  10
gosec                         fixed     5 
gosec                         observed  3 
govulncheck                   fixed     8 
govulncheck                   observed  12
local_validation              fixed     54
local_validation              observed  1 
logcopter_generation          fixed     53
logcopter_generation          observed  3 
nancy_ossindex                fixed     1 
nancy_ossindex                observed  1 
release_or_main_verification  fixed     27
release_or_main_verification  observed  1 
workflow_yaml                 fixed     37
workflow_yaml                 observed  8 
